the_geom,the_geom_webmercator,objectid,dc_key,location_block,point_x,point_y,lat,lng
0101000020E61000002FF4EBFBEEC852C0B81D1A16A3FF4340,0101000020110F000024CDFC1F75E85FC153536B8F7E8F5241,24700874,202525004373.0,3000 BLOCK N REESE ST,-75.13958643,39.9971645,39.9971645,-75.13958643
0101000020E6100000256FA91861CC52C0F55AF9FA94F74340,0101000020110F0000071A3D7B4FEE5FC103C0677C91865241,24640890,202517001819.0,1500 BLOCK S HOLLYWOOD ST,-75.19342629,39.93423402,39.93423402,-75.19342629
0101000020E61000000A3FA33A7EC452C08B0729B2B5014440,0101000020110F0000944C6F3BEAE05FC17A2421E2CA915241,24398493,202515001236.0,2000 BLOCK BRIDGE ST,-75.07020441,40.01335742,40.01335742,-75.07020441
0101000020E61000009474413BEFC252C042BAD0438A044440,0101000020110F0000EE349F7E44DE5FC1150FE67CEE945241,24701454,202515005290.0,3400 BLOCK PRINCETON AV,-75.04585153,40.03546951,40.03546951,-75.04585153
0101000020E6100000B8D54198BACC52C05EA9FCA524FB4340,0101000020110F0000C68DE380E7EE5FC143355678838A5241,24186488,202516000046.0,3800 BLOCK SPRING GARDEN ST,-75.19888884,39.96205592,39.96205592,-75.19888884
0101000020E6100000D25A4DAE54CF52C00999B72C57FB4340,0101000020110F00003682F2EA52F35FC1D9D90C75BB8A5241,24522333,202519000134.0,5900 BLOCK ARCH ST,-75.23954352,39.96359787,39.96359786,-75.23954351
0101000020E61000002EA216182CD052C012A982B4F3FC4340,0101000020110F0000694E9DD1C0F45FC14886029F848C5241,24186498,202519000202.0,6600 BLOCK LEBANON AV,-75.25269129,39.97618729,39.97618729,-75.25269129
0101000020E6100000D22590D01ECF52C006525A66AEF94340,0101000020110F00008B14B06BF7F25FC15FAEE4CFE4885241,24701463,202518003235.0,5600 BLOCK WALTON AV,-75.23625578,39.95063476,39.95063476,-75.23625578
0101000020E61000002EB9FE1B03C952C0EE5A423E68FE4340,0101000020110F0000796F4D4F97E85FC199F6C089218E5241,24489844,202526000242.0,2400 BLOCK N ORKNEY ST,-75.14081478,39.98755625,39.98755625,-75.14081478
0101000020E61000001138F15947CF52C0A5E2D60FF7FB4340,0101000020110F000025EBB5463CF35FC1E46521A26C8B5241,24701466,202519000651.0,400 BLOCK N SALFORD ST,-75.23872994,39.96847723,39.96847723,-75.23872994
0101000020E61000006CE2CBE126CF52C00A6C6B9778F64340,0101000020110F00000EC9B11F05F35FC184A3148356855241,24186507,202512000259.0,6600 BLOCK GREENWAY AV,-75.23674817,39.92555517,39.92555516,-75.23674817
0101000020E6100000BA76F56CCEC952C00999751005F74340,0101000020110F00005385B4A9F0E95FC14CF65316F2855241,24458652,202503001520.0,1400 BLOCK S 5TH ST,-75.15322423,39.92984205,39.92984205,-75.15322422
0101000020E6100000B899E17197C952C03EF1D6D8A9FB4340,0101000020110F000002FFC44593E95FC1B5C14811178B5241,24399472,202509003890.0,800 BLOCK N FRANKLIN ST,-75.14986846,39.96612082,39.96612082,-75.14986846
0101000020E61000008D97F24A27C352C0FDB35163E30A4440,0101000020110F0000B3336AB8A3DE5FC1C9D2A1D3F99B5241,24369218,202507000810.0,1100 BLOCK ALTON PL,-75.04927324,40.08506433,40.08506433,-75.04927324
